temp_K,Cp_kjkgK,Cv_kjkgK,k
250,1.003000,0.716000,1.401000
300,1.005000,0.718000,1.400000
350,1.008000,0.721000,1.398000
400,1.013000,0.726000,1.395000
450,1.020000,0.733000,1.391000
500,1.029000,0.742000,1.387000
550,1.040000,0.753000,1.381000
600,1.051000,0.764000,1.376000
650,1.063000,0.776000,1.370000
700,1.075000,0.788000,1.364000
750,1.087000,0.800000,1.359000
800,1.099000,0.812000,1.354000
900,1.121000,0.834000,1.344000
1000,1.142000,0.855000,1.336000
1100,1.155000,0.868000,1.331000
1200,1.173000,0.886000,1.324000
1300,1.190000,0.903000,1.318000
1400,1.204000,0.917000,1.313000
1500,1.216000,0.929000,1.309000
